序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,bStart,BOOL,,OFF,不保持,私有,启动按钮,M0,
2,bReset,BOOL,,OFF,不保持,私有,复位按钮,M1,
3,iStepNo,INT,,0,不保持,私有,工步,,
4,bFeedCylinderExtend,BOOL,,OFF,不保持,私有,上料气缸阀,M100,
5,bPush1Extend,BOOL,,OFF,不保持,私有,推料1阀,M101,
6,bPush2Extend,BOOL,,OFF,不保持,私有,推料2阀,M102,
7,bConveyorRun,BOOL,,OFF,不保持,私有,传送带运行,M103,
8,bResetUp,BOOL,,OFF,不保持,私有,复位时间到,,
9,bAllCylindersRetracted,BOOL,,OFF,不保持,私有,所有气缸复位完成,,
10,bAllCylinderIn,BOOL,,OFF,不保持,私有,所有气缸缩回到位,,
11,bFeedCylinderIn,BOOL,,OFF,不保持,私有,上料缩回传感器,M2,
12,bFeedCylinderOut,BOOL,,OFF,不保持,私有,上料气缸伸出到位,M3,
13,bPush1In,BOOL,,OFF,不保持,私有,推料1缩回传感器,M4,
14,bPush1Out,BOOL,,OFF,不保持,私有,推料1伸出传感器,M5,
15,bPush2In,BOOL,,OFF,不保持,私有,推料2缩回传感器,M6,
16,bPush2Out,BOOL,,OFF,不保持,私有,推料2伸出传感器,M7,
17,bFeedSensor,BOOL,,OFF,不保持,私有,有料传感器,M8,
18,bColorSensor,BOOL,,OFF,不保持,私有,色标黑1蓝0,M9,
19,bMaterialSensor,BOOL,,OFF,不保持,私有,物料传感器,M10,
