模块,子模块,评分项,分数,评分说明
复位测试,复位触发,复位按钮检测,2,验证PLC接收复位信号(M1)
复位测试,复位触发,上料气缸_缩回_控制信号,4,复位同时输出上料气缸缩回控制(M100)
复位测试,复位触发,上料气缸_缩回_磁性开关到位,3,缩回磁性开关确认到位(M2)
复位测试,设备归位+清料,分拣1气缸_缩回_控制信号,2,复位同时输出分拣1气缸缩回控制(M101)
复位测试,设备归位+清料,分拣1气缸_缩回_磁性开关到位,1,缩回磁性开关确认到位(M4)
复位测试,设备归位+清料,分拣2气缸_缩回_控制信号,2,复位同时输出分拣2气缸缩回控制(M102)
复位测试,设备归位+清料,分拣2气缸_缩回_磁性开关到位,1,缩回磁性开关确认到位(M6)
复位测试,设备归位+清料,传送带_清料_运行_状态变化,3,复位同时传送带启动清料(M103)
复位测试,设备归位+清料,传送带_清料_运行_状态保持,2,清料期间传送带持续运行
复位测试,设备归位+清料,传送带_定时停止_状态变化,3,5秒定时器到时传送带自动停止
复位测试,设备归位+清料,传送带_定时停止_状态保持,2,确认传送带停止且不再重启
复位测试小计,,,25,
上料流程测试,上料触发,启动按钮检测,2,验证启动按钮信号(M0)
上料流程测试,上料触发,上料气缸_伸出_控制信号,3,启动后输出上料气缸伸出控制(M100)
上料流程测试,上料触发,上料气缸_伸出_磁性开关到位,3,伸出磁性开关确认到位(M3)
上料流程测试,上料触发,上料气缸_缩回_控制信号,4,伸出磁性开关触发后输出缩回控制(M100)
上料流程测试,上料触发,上料气缸_缩回_磁性开关到位,4,缩回磁性开关确认到位(M2)
上料流程测试,传送带联动,上料传感器_检测_触发,4,上料传感器检测到物料(M8)
上料流程测试,传送带联动,传送带_运行_状态变化,3,传感器触发后传送带联动启动(M103)
上料流程测试,传送带联动,传送带_运行_状态保持,2,传送带持续运行至分拣传感器触发
上料流程测试小计,,,25,
黑色物料分拣,色标检测,色标传感器_触发_检测,4,色标传感器识别到黑色物料(M9)
黑色物料分拣,色标检测,传送带_停止_状态变化,4,色标传感器触发后传送带立即停止(M103)
黑色物料分拣,色标检测,传送带_停止_状态保持,3,传送带停止且不再重启
黑色物料分拣,分拣1号位动作,分拣1气缸_伸出_控制信号,4,色标触发后输出分拣1气缸伸出控制(M101)
黑色物料分拣,分拣1号位动作,分拣1气缸_伸出_磁性开关到位,4,伸出磁性开关确认到位(M5)
黑色物料分拣,分拣1号位动作,分拣1气缸_缩回_控制信号,3,伸出到位后输出缩回控制(M101)
黑色物料分拣,分拣1号位动作,分拣1气缸_缩回_磁性开关到位,3,缩回磁性开关确认到位(M4)
黑色物料分拣小计,,,25,
蓝色物料分拣,第二轮上料+蓝色运输,启动按钮检测,1,重复步骤(M0)
蓝色物料分拣,第二轮上料+蓝色运输,上料气缸_伸出_控制信号,1,重复步骤(M100)
蓝色物料分拣,第二轮上料+蓝色运输,上料气缸_缩回_控制信号,1,重复步骤(M100)
蓝色物料分拣,第二轮上料+蓝色运输,上料传感器_检测_触发,1,重复步骤(M8)
蓝色物料分拣,第二轮上料+蓝色运输,传送带_运行_状态变化,1,重复步骤(M103)
蓝色物料分拣,第二轮上料+蓝色运输,色标传感器_未触发_验证,2,蓝色物料经1号位色标不响应-互锁验证(M9)
蓝色物料分拣,第二轮上料+蓝色运输,物料传感器_触发_检测,3,物料传感器检测到蓝色物料(M10)
蓝色物料分拣,第二轮上料+蓝色运输,传送带_停止_状态变化,3,物料传感器触发后传送带停止(M103)
蓝色物料分拣,第二轮上料+蓝色运输,传送带_停止_状态保持,2,传送带停止且不再重启
蓝色物料分拣,分拣2号位动作,分拣1气缸_未动作_验证,1,验证分拣1气缸未被误触发-互锁正确(M5)
蓝色物料分拣,分拣2号位动作,分拣2气缸_伸出_控制信号,4,物料传感器触发后输出分拣2气缸伸出控制(M102)
蓝色物料分拣,分拣2号位动作,分拣2气缸_伸出_磁性开关到位,3,伸出磁性开关确认到位(M7)
蓝色物料分拣,分拣2号位动作,分拣2气缸_缩回_控制信号,2,伸出到位后输出缩回控制(M102)
蓝色物料分拣小计,,,25,
总分,,100,,
