模块,子模块,评分项,分数,评分说明
正启动测试,正启动,正启动按钮检测,2,首次验证正启动按钮
正启动测试,正启动,正转_运行_状态变化,6,首次验证正转运行
正启动测试,正启动,正转_运行_状态保持,5,首次验证正转自锁
正启动测试,正停止,停止按钮检测,2,首次验证停止按钮
正启动测试,正停止,正转_停止_状态变化,5,首次验证正转停止
正启动测试,正停止,正转_停止_状态保持,5,首次验证停止自锁
正转停止测试小计,,,25,
反启动测试,反启动,反启动按钮检测,2,首次验证反启动按钮
反启动测试,反启动,反转_运行_状态变化,6,首次验证反转运行
反启动测试,反启动,反转_运行_状态保持,5,首次验证反转自锁
反启动测试,反停止,停止按钮检测,2,首次验证停止按钮
反启动测试,反停止,反转_停止_状态变化,5,首次验证反转停止
反启动测试,反停止,反转_停止_状态保持,5,首次验证停止自锁
反转停止测试小计,,,25,
正切反测试,正切反-启动,正启动按钮检测,1,重复步骤
正切反测试,正切反-启动,正转_运行_状态变化,1,重复步骤
正切反测试,正切反-启动,正转_运行_状态保持,1,重复步骤
正切反测试,正切反-切换,反启动按钮检测,1,重复步骤
正切反测试,正切反-切换,正转_停止_状态变化,5,正切反核心评分
正切反测试,正切反-切换,正转_停止_状态保持,4,正切反核心评分
正切反测试,正切反-切换,反转_运行_状态变化,5,正切反核心评分
正切反测试,正切反-切换,反转_运行_状态保持,4,正切反核心评分
正切反测试,正切反-停止,停止按钮检测,1,重复步骤
正切反测试,正切反-停止,反转_停止_状态变化,1,重复步骤
正切反测试,正切反-停止,反转_停止_状态保持,1,重复步骤
正切反测试小计,,,25,
反切正测试,反切正-启动,反启动按钮检测,1,重复步骤
反切正测试,反切正-启动,反转_运行_状态变化,1,重复步骤
反切正测试,反切正-启动,反转_运行_状态保持,1,重复步骤
反切正测试,反切正-切换,正启动按钮检测,1,重复步骤
反切正测试,反切正-切换,反转_停止_状态变化,5,反切正核心评分
反切正测试,反切正-切换,反转_停止_状态保持,4,反切正核心评分
反切正测试,反切正-切换,正转_运行_状态变化,5,反切正核心评分
反切正测试,反切正-切换,正转_运行_状态保持,4,反切正核心评分
反切正测试,反切正-停止,停止按钮检测,1,重复步骤
反切正测试,反切正-停止,正转_停止_状态变化,1,重复步骤
反切正测试,反切正-停止,正转_停止_状态保持,1,重复步骤
反切正测试小计,,,25,
总分,,100,,
